,date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
271,2022-03-01,Meghalaya,2-Wheelers,0,1687
272,2022-03-01,Meghalaya,4-Wheelers,0,1104
273,2022-03-01,Mizoram,2-Wheelers,0,1848
274,2022-03-01,Mizoram,4-Wheelers,0,413
275,2022-03-01,Nagaland,2-Wheelers,0,541
276,2022-03-01,Nagaland,4-Wheelers,0,632
277,2022-03-01,Tripura,4-Wheelers,0,484
278,2022-04-01,Andaman & Nicobar Island,2-Wheelers,0,407
279,2022-04-01,Arunachal Pradesh,2-Wheelers,0,1063
280,2022-04-01,Arunachal Pradesh,4-Wheelers,0,824
281,2022-04-01,Ladakh,2-Wheelers,0,351
282,2022-04-01,Ladakh,4-Wheelers,0,105
283,2022-04-01,Mizoram,2-Wheelers,0,1530
284,2022-04-01,Mizoram,4-Wheelers,0,323
285,2022-04-01,Nagaland,4-Wheelers,0,723
286,2022-04-01,Tripura,4-Wheelers,0,448
287,2022-05-01,Andaman & Nicobar Island,2-Wheelers,0,358
288,2022-05-01,Andaman & Nicobar Island,4-Wheelers,0,110
289,2022-05-01,Arunachal Pradesh,2-Wheelers,0,1241
290,2022-05-01,Arunachal Pradesh,4-Wheelers,0,965
291,2022-05-01,Ladakh,2-Wheelers,0,419
292,2022-05-01,Ladakh,4-Wheelers,0,322
293,2022-05-01,Manipur,4-Wheelers,0,644
294,2022-05-01,Meghalaya,2-Wheelers,0,1780
295,2022-05-01,Mizoram,4-Wheelers,0,397
296,2022-05-01,Nagaland,4-Wheelers,0,630
297,2022-05-01,Tripura,4-Wheelers,0,359
298,2022-06-01,Andaman & Nicobar Island,2-Wheelers,0,423
299,2022-06-01,Andaman & Nicobar Island,4-Wheelers,0,115
300,2022-06-01,Arunachal Pradesh,2-Wheelers,0,1253
301,2022-06-01,Arunachal Pradesh,4-Wheelers,0,1021
302,2022-06-01,Ladakh,4-Wheelers,0,310
303,2022-06-01,Manipur,4-Wheelers,0,1029
304,2022-06-01,Mizoram,4-Wheelers,0,373
305,2022-06-01,Nagaland,2-Wheelers,0,594
306,2022-06-01,Nagaland,4-Wheelers,0,735
307,2022-06-01,Tripura,4-Wheelers,0,354
308,2022-07-01,Andaman & Nicobar Island,2-Wheelers,0,385
309,2022-07-01,Andaman & Nicobar Island,4-Wheelers,0,127
310,2022-07-01,Arunachal Pradesh,2-Wheelers,0,1181
311,2022-07-01,DNH and DD,4-Wheelers,0,344
312,2022-07-01,Ladakh,2-Wheelers,0,314
313,2022-07-01,Manipur,4-Wheelers,0,775
314,2022-07-01,Mizoram,4-Wheelers,0,319
315,2022-07-01,Nagaland,2-Wheelers,0,505
316,2022-07-01,Nagaland,4-Wheelers,0,591
317,2022-07-01,Tripura,4-Wheelers,0,402
318,2022-08-01,Andaman & Nicobar Island,2-Wheelers,0,398
319,2022-08-01,Andaman & Nicobar Island,4-Wheelers,0,154
320,2022-08-01,Arunachal Pradesh,2-Wheelers,0,1244
321,2022-08-01,Arunachal Pradesh,4-Wheelers,0,866
322,2022-08-01,Ladakh,2-Wheelers,0,222
323,2022-08-01,Manipur,4-Wheelers,0,623
324,2022-08-01,Meghalaya,4-Wheelers,0,1120
325,2022-08-01,Mizoram,4-Wheelers,0,408
326,2022-08-01,Nagaland,2-Wheelers,0,554
327,2022-08-01,Nagaland,4-Wheelers,0,844
328,2022-08-01,Tripura,4-Wheelers,0,403
329,2022-09-01,Andaman & Nicobar Island,2-Wheelers,0,484
330,2022-09-01,Andaman & Nicobar Island,4-Wheelers,0,128
331,2022-09-01,Arunachal Pradesh,2-Wheelers,0,1068
332,2022-09-01,Arunachal Pradesh,4-Wheelers,0,931
333,2022-09-01,Ladakh,2-Wheelers,0,30
334,2022-09-01,Ladakh,4-Wheelers,0,189
335,2022-09-01,Manipur,4-Wheelers,0,820
336,2022-09-01,Mizoram,4-Wheelers,0,379
337,2022-09-01,Nagaland,2-Wheelers,0,589
338,2022-09-01,Nagaland,4-Wheelers,0,780
339,2022-09-01,Tripura,4-Wheelers,0,465
340,2022-10-01,Andaman & Nicobar Island,2-Wheelers,0,409
341,2022-10-01,Andaman & Nicobar Island,4-Wheelers,0,144
342,2022-10-01,Arunachal Pradesh,2-Wheelers,0,850
343,2022-10-01,Arunachal Pradesh,4-Wheelers,0,741
344,2022-10-01,Ladakh,2-Wheelers,0,27
345,2022-10-01,Ladakh,4-Wheelers,0,264
346,2022-10-01,Manipur,4-Wheelers,0,596
347,2022-10-01,Mizoram,4-Wheelers,0,362
348,2022-10-01,Nagaland,2-Wheelers,0,374
349,2022-10-01,Nagaland,4-Wheelers,0,690
350,2022-10-01,Tripura,4-Wheelers,0,416
351,2022-11-01,Arunachal Pradesh,2-Wheelers,0,1251
352,2022-11-01,Arunachal Pradesh,4-Wheelers,0,971
353,2022-11-01,Jammu and Kashmir,4-Wheelers,0,4102
354,2022-11-01,Ladakh,2-Wheelers,0,23
355,2022-11-01,Ladakh,4-Wheelers,0,244
356,2022-11-01,Manipur,4-Wheelers,0,1569
357,2022-11-01,Meghalaya,4-Wheelers,0,1158
358,2022-11-01,Mizoram,4-Wheelers,0,378
359,2022-11-01,Nagaland,2-Wheelers,0,447
